millis,iso_time,sequence,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
3674,2026-09-04 16:27:48,240,21.920,69.133,84.564,,,,448.537,,,,,,,,,,29808988.000,414.863,,,29.500,,,
13813,2026-09-04 16:27:59,241,21.920,69.133,84.564,,,,399.430,,,,,,,,,,29808988.000,398.984,,,29.500,,,
23952,2026-09-04 16:28:32,242,21.920,69.133,84.564,,,,359.144,,,,,,,,,,29808988.000,375.436,,,29.500,,,
34091,2026-09-04 16:28:42,243,21.920,69.133,84.564,,,,338.715,,,,,,,,,,29808988.000,354.671,,,29.500,,,
44230,2026-09-04 16:28:52,244,21.920,69.133,84.564,,,,310.772,,,,,,,,,,29808988.000,348.720,,,29.500,,,
54369,2026-09-04 16:29:03,245,21.920,69.133,84.564,,,,287.418,,,,,,,,,,29808988.000,332.712,,,29.250,,,
6026,2026-09-04 16:28:49,246,21.920,69.133,84.564,,,,286.334,,,,,,,,,,29808988.000,319.105,,,29.500,,,
16152,2026-09-04 16:29:23,247,21.920,69.133,84.564,,,,270.067,,,,,,,,,,29808988.000,321.639,,,29.250,,,
26291,2026-09-04 16:29:33,248,21.920,69.133,84.564,,,,254.454,,,,,,,,,,29808988.000,313.143,,,29.500,,,
36430,2026-09-04 16:29:43,249,21.920,69.133,84.564,,,,245.163,,,,,,,,,,29808988.000,302.472,,,29.250,,,
46569,2026-09-04 16:29:53,250,21.920,69.133,84.564,,,,254.530,,,,,,,,,,29808988.000,293.251,,,29.250,,,
56708,2026-09-04 16:30:03,251,21.920,69.133,84.564,,,,259.024,,,,,,,,,,29808990.000,285.714,,,29.250,,,
66847,2026-09-04 16:30:14,252,21.920,69.133,84.564,,,,268.220,,,,,,,,,,29808990.000,279.306,,,29.000,,,
3021,2026-09-04 16:29:59,253,21.920,69.133,84.564,,,,255.976,,,,,,,,,,29808988.000,274.311,,,29.250,,,
13157,2026-09-04 16:30:09,254,21.920,69.133,84.564,,,,244.380,,,,,,,,,,29808990.000,282.514,,,29.250,,,
23296,2026-09-04 16:30:44,255,21.920,69.133,84.564,,,,238.504,,,,,,,,,,29808990.000,282.287,,,29.250,,,
33435,2026-09-04 16:30:54,256,21.920,69.133,84.564,,,,249.404,,,,,,,,,,29808990.000,275.494,,,29.250,,,
43574,2026-09-04 16:31:04,257,21.920,69.133,84.564,,,,238.723,,,,,,,,,,29808992.000,274.370,,,29.000,,,
53713,2026-09-04 16:31:14,258,21.920,69.133,84.564,,,,236.378,,,,,,,,,,29808992.000,272.364,,,29.000,,,
63852,2026-09-04 16:31:25,259,21.920,69.133,84.564,,,,248.903,,,,,,,,,,29808992.000,268.260,,,29.250,,,
