millis,iso_time,sequence,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
7794,NO_TIME,1,20.900,30.244,29.280,987.792,214.141,34.598,2400.000,0.240,1.923,1591.000,1.923,1591.000,0.000,0.000,0.000,0.000,0.502,415.000,0.502,415.000,0.000,0.000,0.000,0.000
27857,2026-05-26 11:38:49,2,20.100,30.459,29.320,987.773,214.306,34.413,1700.000,0.170,1.831,1210.000,1.463,1514.800,0.000,0.000,0.000,0.000,0.418,70.000,0.085,346.000,0.000,0.000,0.000,0.000
47922,2026-05-26 11:39:09,3,20.100,30.566,29.330,987.797,214.100,34.216,1300.000,0.130,1.759,1216.000,1.470,1455.040,0.000,0.000,0.000,0.000,0.356,89.000,0.108,294.600,0.000,0.000,0.000,0.000
67987,2026-05-26 11:39:29,4,20.100,30.674,29.350,987.818,213.925,34.159,1500.000,0.150,1.627,910.000,1.100,1346.032,0.000,0.000,0.000,0.000,0.333,198.000,0.239,275.280,0.000,0.000,0.000,0.000
88145,2026-05-26 11:39:49,5,20.100,30.566,29.340,987.838,213.756,34.450,1600.000,0.160,1.574,1127.000,1.362,1302.226,0.000,0.000,0.000,0.000,0.313,192.000,0.232,258.624,0.000,0.000,0.000,0.000
108210,2026-05-26 11:40:09,6,20.100,30.674,29.330,987.785,214.208,35.418,1800.000,0.180,1.500,994.000,1.202,1240.581,0.000,0.000,0.000,0.000,0.296,188.000,0.227,244.499,0.000,0.000,0.000,0.000
128275,2026-05-26 11:40:29,7,20.100,30.674,29.300,987.777,214.269,34.750,1300.000,0.130,1.457,1063.000,1.285,1205.065,0.000,0.000,0.000,0.000,0.266,124.000,0.150,220.399,0.000,0.000,0.000,0.000
148340,2026-05-26 11:40:50,8,20.100,30.782,29.260,987.782,214.228,35.318,1300.000,0.130,1.412,1021.000,1.234,1168.252,0.000,0.000,0.000,0.000,0.233,84.000,0.102,193.120,0.000,0.000,0.000,0.000
168405,2026-05-26 11:41:10,9,20.100,30.782,29.290,987.772,214.314,35.543,1400.000,0.140,1.378,1027.000,1.241,1140.001,0.000,0.000,0.000,0.000,0.217,127.000,0.154,179.896,0.000,0.000,0.000,0.000
188470,2026-05-26 11:41:30,10,20.000,30.782,29.310,987.757,214.445,36.326,2000.000,0.200,1.388,1181.000,1.428,1148.201,0.000,0.000,0.000,0.000,0.193,77.000,0.093,159.316,0.000,0.000,0.000,0.000
208535,2026-05-26 11:41:50,11,20.000,30.890,29.330,987.795,214.123,35.208,2200.000,0.220,1.356,1016.000,1.228,1121.761,0.000,0.000,0.000,0.000,0.175,88.000,0.106,145.053,0.000,0.000,0.000,0.000
7331,NO_TIME,1,20.900,30.890,29.150,987.747,214.530,35.869,1700.000,0.170,1.621,1341.000,1.621,1341.000,0.000,0.000,0.000,0.000,0.286,237.000,0.286,237.000,0.000,0.000,0.000,0.000
27394,2026-05-26 11:44:12,2,20.000,30.890,29.200,987.755,214.456,35.115,1700.000,0.170,1.561,1093.000,1.321,1291.400,0.000,0.000,0.000,0.000,0.250,88.000,0.106,207.200,0.000,0.000,0.000,0.000
47459,2026-05-26 11:44:32,3,20.100,30.890,29.200,987.757,214.444,34.918,1400.000,0.140,1.493,1008.000,1.218,1234.720,0.000,0.000,0.000,0.000,0.221,85.000,0.103,182.760,0.000,0.000,0.000,0.000
67540,2026-05-26 11:44:52,4,20.100,30.998,29.190,987.722,214.740,34.800,1300.000,0.130,1.370,726.000,0.878,1132.976,0.000,0.000,0.000,0.000,0.215,159.000,0.192,178.008,0.000,0.000,0.000,0.000
87605,2026-05-26 11:45:12,5,20.100,30.998,29.180,987.716,214.788,34.858,1300.000,0.130,1.355,1073.000,1.297,1120.981,0.000,0.000,0.000,0.000,0.213,170.000,0.205,176.406,0.000,0.000,0.000,0.000
107670,2026-05-26 11:45:32,6,20.100,30.998,29.200,987.720,214.754,34.532,1200.000,0.120,1.322,983.000,1.188,1093.385,0.000,0.000,0.000,0.000,0.208,153.000,0.185,171.725,0.000,0.000,0.000,0.000
127735,2026-05-26 11:45:52,7,20.100,30.998,29.190,987.722,214.743,34.625,1200.000,0.120,1.310,1045.000,1.263,1083.708,0.000,0.000,0.000,0.000,0.199,135.000,0.163,164.380,0.000,0.000,0.000,0.000
147800,2026-05-26 11:46:12,8,20.100,31.107,29.180,987.684,215.061,34.473,1200.000,0.120,1.335,1188.000,1.436,1104.566,0.000,0.000,0.000,0.000,0.175,65.000,0.079,144.504,0.000,0.000,0.000,0.000
167865,2026-05-26 11:46:33,9,20.100,31.107,29.220,987.713,214.814,34.568,1200.000,0.120,1.355,1185.000,1.432,1120.653,0.000,0.000,0.000,0.000,0.154,57.000,0.069,127.003,0.000,0.000,0.000,0.000
187930,2026-05-26 11:46:53,10,20.100,31.107,29.200,987.669,215.189,34.720,1300.000,0.130,1.328,1012.000,1.223,1098.922,0.000,0.000,0.000,0.000,0.148,103.000,0.125,122.203,0.000,0.000,0.000,0.000
207995,2026-05-26 11:47:13,11,20.100,31.107,29.220,987.668,215.201,35.141,1300.000,0.130,1.293,954.000,1.153,1069.938,0.000,0.000,0.000,0.000,0.144,107.000,0.129,119.162,0.000,0.000,0.000,0.000
228060,2026-05-26 11:47:33,12,20.100,30.998,29.190,987.652,215.336,34.602,1300.000,0.130,1.294,1072.000,1.296,1070.350,0.000,0.000,0.000,0.000,0.135,80.000,0.097,111.330,0.000,0.000,0.000,0.000
248125,2026-05-26 11:47:53,13,20.100,31.107,29.160,987.678,215.116,34.495,1200.000,0.120,1.291,1057.000,1.278,1067.680,0.000,0.000,0.000,0.000,0.146,160.000,0.193,121.064,0.000,0.000,0.000,0.000
268190,2026-05-26 11:48:13,14,20.100,31.107,29.170,987.675,215.138,34.390,1200.000,0.120,1.315,1170.000,1.414,1088.144,0.000,0.000,0.000,0.000,0.137,81.000,0.098,113.051,0.000,0.000,0.000,0.000
288255,2026-05-26 11:48:33,15,20.100,31.107,29.210,987.647,215.381,34.498,1200.000,0.120,1.293,997.000,1.205,1069.915,0.000,0.000,0.000,0.000,0.122,53.000,0.064,101.041,0.000,0.000,0.000,0.000
308320,2026-05-26 11:48:53,16,20.100,31.107,29.200,987.652,215.337,34.066,1300.000,0.130,1.320,1182.000,1.429,1092.332,0.000,0.000,0.000,0.000,0.113,63.000,0.076,93.433,0.000,0.000,0.000,0.000
328385,2026-05-26 11:49:13,17,20.100,31.107,29.200,987.674,215.144,34.510,1200.000,0.120,1.339,1169.000,1.413,1107.666,0.000,0.000,0.000,0.000,0.107,68.000,0.082,88.346,0.000,0.000,0.000,0.000
348450,2026-05-26 11:49:33,18,20.100,31.107,29.230,987.667,215.203,34.268,1200.000,0.120,1.343,1126.000,1.361,1111.333,0.000,0.000,0.000,0.000,0.099,56.000,0.068,81.877,0.000,0.000,0.000,0.000
368515,2026-05-26 11:49:53,19,20.100,31.215,29.220,987.631,215.513,33.893,1200.000,0.120,1.329,1053.000,1.273,1099.666,0.000,0.000,0.000,0.000,0.093,56.000,0.068,76.702,0.000,0.000,0.000,0.000
388580,2026-05-26 11:50:13,20,20.100,31.107,29.210,987.644,215.403,34.896,1300.000,0.130,1.356,1210.000,1.463,1121.733,0.000,0.000,0.000,0.000,0.088,59.000,0.071,73.161,0.000,0.000,0.000,0.000
408746,2026-05-26 11:50:33,21,20.100,31.215,29.230,987.658,215.287,35.071,1300.000,0.130,1.366,1165.000,1.408,1130.386,0.000,0.000,0.000,0.000,0.104,139.000,0.168,86.329,0.000,0.000,0.000,0.000
428811,2026-05-26 11:50:53,22,20.100,31.215,29.210,987.634,215.484,34.638,1200.000,0.120,1.358,1095.000,1.324,1123.309,0.000,0.000,0.000,0.000,0.113,121.000,0.146,93.263,0.000,0.000,0.000,0.000
448876,2026-05-26 11:51:14,23,20.100,31.215,29.190,987.602,215.939,34.496,1200.000,0.120,1.372,1182.000,1.429,1135.047,0.000,0.000,0.000,0.000,0.104,59.000,0.071,86.411,0.000,0.000,0.000,0.000
468941,2026-05-26 11:51:34,24,20.100,31.215,29.170,987.606,215.726,34.273,1200.000,0.120,1.352,1051.000,1.270,1118.238,0.000,0.000,0.000,0.000,0.100,69.000,0.083,82.928,0.000,0.000,0.000,0.000
489006,2026-05-26 11:51:54,25,20.100,31.215,29.180,987.652,215.333,34.589,1200.000,0.120,1.368,1186.000,1.434,1131.790,0.000,0.000,0.000,0.000,0.110,122.000,0.147,90.743,0.000,0.000,0.000,0.000
509071,2026-05-26 11:52:14,26,20.100,31.215,29.080,987.615,215.650,35.375,1300.000,0.130,1.322,940.000,1.136,1093.432,0.000,0.000,0.000,0.000,0.114,108.000,0.131,94.194,0.000,0.000,0.000,0.000
529136,2026-05-26 11:52:34,27,20.100,31.107,29.070,987.640,215.436,35.188,1300.000,0.130,1.299,1000.000,1.209,1074.746,0.000,0.000,0.000,0.000,0.109,75.000,0.091,90.355,0.000,0.000,0.000,0.000
549288,2026-05-26 11:52:54,28,20.100,31.215,29.090,987.642,215.423,35.398,1300.000,0.130,1.296,1063.000,1.285,1072.397,0.000,0.000,0.000,0.000,0.116,119.000,0.144,96.084,0.000,0.000,0.000,0.000
569353,2026-05-26 11:53:14,29,20.100,31.107,29.130,987.628,215.535,34.830,1300.000,0.130,1.299,1083.000,1.309,1074.517,0.000,0.000,0.000,0.000,0.131,156.000,0.189,108.067,0.000,0.000,0.000,0.000
589418,2026-05-26 11:53:34,30,20.100,31.215,29.150,987.598,215.792,34.669,1300.000,0.130,1.287,1025.000,1.239,1064.614,0.000,0.000,0.000,0.000,0.118,54.000,0.065,97.254,0.000,0.000,0.000,0.000
609483,2026-05-26 11:53:54,31,20.100,31.107,29.190,987.615,215.652,35.068,1200.000,0.120,1.272,1004.000,1.214,1052.491,0.000,0.000,0.000,0.000,0.125,128.000,0.155,103.403,0.000,0.000,0.000,0.000
629548,2026-05-26 11:54:14,32,20.100,31.215,29.200,987.633,215.499,35.150,1300.000,0.130,1.295,1146.000,1.385,1071.193,0.000,0.000,0.000,0.000,0.121,87.000,0.105,100.123,0.000,0.000,0.000,0.000
649613,2026-05-26 11:54:34,33,20.100,31.324,29.240,987.672,215.168,34.990,1300.000,0.130,1.307,1122.000,1.356,1081.354,0.000,0.000,0.000,0.000,0.132,147.000,0.178,109.498,0.000,0.000,0.000,0.000
669678,2026-05-26 11:54:54,34,20.100,31.215,29.240,987.680,215.097,34.478,1300.000,0.130,1.266,913.000,1.104,1047.683,0.000,0.000,0.000,0.000,0.143,155.000,0.187,118.598,0.000,0.000,0.000,0.000
689830,2026-05-26 11:55:15,35,20.100,31.215,29.230,987.681,215.084,35.130,1300.000,0.130,1.268,1055.000,1.275,1049.147,0.000,0.000,0.000,0.000,0.135,85.000,0.103,111.879,0.000,0.000,0.000,0.000
709895,2026-05-26 11:55:35,36,20.100,31.215,29.240,987.661,215.254,34.723,1300.000,0.130,1.251,976.000,1.180,1034.517,0.000,0.000,0.000,0.000,0.131,93.000,0.112,108.103,0.000,0.000,0.000,0.000
729960,2026-05-26 11:55:55,37,20.100,31.215,29.250,987.678,215.115,34.933,1200.000,0.120,1.264,1092.000,1.320,1046.014,0.000,0.000,0.000,0.000,0.142,157.000,0.190,117.882,0.000,0.000,0.000,0.000
750025,2026-05-26 11:56:15,38,20.100,31.215,29.280,987.639,215.446,35.040,1300.000,0.130,1.237,932.000,1.127,1023.211,0.000,0.000,0.000,0.000,0.148,140.000,0.169,122.306,0.000,0.000,0.000,0.000
770090,2026-05-26 11:56:35,39,20.100,31.324,29.270,987.638,215.458,35.331,1300.000,0.130,1.282,1212.000,1.465,1060.969,0.000,0.000,0.000,0.000,0.131,54.000,0.065,108.645,0.000,0.000,0.000,0.000
790155,2026-05-26 11:56:55,40,20.100,31.324,29.280,987.645,215.390,34.993,1300.000,0.130,1.242,892.000,1.078,1027.175,0.000,0.000,0.000,0.000,0.144,163.000,0.197,119.516,0.000,0.000,0.000,0.000
810220,2026-05-26 11:57:15,41,20.100,31.324,29.250,987.622,215.587,34.759,1300.000,0.130,1.258,1096.000,1.325,1040.940,0.000,0.000,0.000,0.000,0.139,95.000,0.115,114.613,0.000,0.000,0.000,0.000
830372,2026-05-26 11:57:35,42,20.100,31.215,29.270,987.607,215.715,34.806,1200.000,0.120,1.301,1218.000,1.472,1076.352,0.000,0.000,0.000,0.000,0.125,60.000,0.073,103.690,0.000,0.000,0.000,0.000
850437,2026-05-26 11:57:55,43,20.100,31.324,29.290,987.632,215.507,35.775,1400.000,0.140,1.321,1158.000,1.400,1092.682,0.000,0.000,0.000,0.000,0.131,128.000,0.155,108.552,0.000,0.000,0.000,0.000
870502,2026-05-26 11:58:15,44,20.100,31.324,29.300,987.615,215.650,35.252,1400.000,0.140,1.317,1077.000,1.302,1089.545,0.000,0.000,0.000,0.000,0.142,154.000,0.186,117.642,0.000,0.000,0.000,0.000
890567,2026-05-26 11:58:35,45,20.100,31.215,29.380,987.591,215.850,35.048,1300.000,0.130,1.304,1037.000,1.254,1079.036,0.000,0.000,0.000,0.000,0.148,141.000,0.170,122.313,0.000,0.000,0.000,0.000
910632,2026-05-26 11:58:55,46,20.100,31.324,29.380,987.563,216.093,35.095,1300.000,0.130,1.311,1105.000,1.336,1084.229,0.000,0.000,0.000,0.000,0.156,155.000,0.187,128.851,0.000,0.000,0.000,0.000
930697,2026-05-26 11:59:15,47,20.100,31.324,29.400,987.603,215.754,35.003,1300.000,0.130,1.334,1179.000,1.425,1103.183,0.000,0.000,0.000,0.000,0.143,75.000,0.091,118.081,0.000,0.000,0.000,0.000
950762,2026-05-26 11:59:36,48,20.100,31.324,29.400,987.606,215.725,34.805,1300.000,0.130,1.272,847.000,1.024,1051.947,0.000,0.000,0.000,0.000,0.155,168.000,0.203,128.064,0.000,0.000,0.000,0.000
970916,2026-05-26 11:59:56,49,20.100,31.324,29.380,987.640,215.440,34.896,1300.000,0.130,1.287,1117.000,1.350,1064.957,0.000,0.000,0.000,0.000,0.150,108.000,0.131,124.052,0.000,0.000,0.000,0.000
990981,2026-05-26 12:00:16,50,20.100,31.324,29.390,987.589,215.868,35.037,1200.000,0.120,1.255,933.000,1.128,1038.566,0.000,0.000,0.000,0.000,0.153,137.000,0.166,126.641,0.000,0.000,0.000,0.000
1011046,2026-05-26 12:00:36,51,20.100,31.324,29.400,987.594,215.829,35.120,1200.000,0.120,1.242,982.000,1.187,1027.253,0.000,0.000,0.000,0.000,0.158,149.000,0.180,131.113,0.000,0.000,0.000,0.000
1031111,2026-05-26 12:00:56,52,20.100,31.324,29.390,987.607,215.719,35.294,1200.000,0.120,1.282,1192.000,1.441,1060.202,0.000,0.000,0.000,0.000,0.153,110.000,0.133,126.890,0.000,0.000,0.000,0.000
1051176,2026-05-26 12:01:16,53,20.100,31.324,29.350,987.560,216.115,35.139,1300.000,0.130,1.317,1206.000,1.458,1089.362,0.000,0.000,0.000,0.000,0.138,62.000,0.075,113.912,0.000,0.000,0.000,0.000
1071241,2026-05-26 12:01:36,54,20.100,31.324,29.360,987.545,216.244,35.198,1300.000,0.130,1.307,1048.000,1.267,1081.089,0.000,0.000,0.000,0.000,0.124,59.000,0.071,102.930,0.000,0.000,0.000,0.000
1091306,2026-05-26 12:01:56,55,20.100,31.324,29.350,987.547,216.223,35.221,1200.000,0.120,1.333,1191.000,1.440,1103.072,0.000,0.000,0.000,0.000,0.115,62.000,0.075,94.744,0.000,0.000,0.000,0.000
1111460,2026-05-26 12:02:16,56,20.100,31.324,29.330,987.544,216.256,35.396,1200.000,0.120,1.364,1228.000,1.484,1128.057,0.000,0.000,0.000,0.000,0.113,87.000,0.105,93.195,0.000,0.000,0.000,0.000
1131525,2026-05-26 12:02:36,57,20.100,31.324,29.370,987.533,216.345,35.291,1300.000,0.130,1.323,960.000,1.160,1094.446,0.000,0.000,0.000,0.000,0.116,109.000,0.132,96.356,0.000,0.000,0.000,0.000
1151590,2026-05-26 12:02:56,58,20.100,31.324,29.370,987.552,216.183,35.304,1300.000,0.130,1.315,1060.000,1.281,1087.557,0.000,0.000,0.000,0.000,0.109,64.000,0.077,89.885,0.000,0.000,0.000,0.000
1171655,2026-05-26 12:03:16,59,20.100,31.324,29.400,987.532,216.354,35.225,1300.000,0.130,1.311,1072.000,1.296,1084.445,0.000,0.000,0.000,0.000,0.123,150.000,0.181,101.908,0.000,0.000,0.000,0.000
1191720,2026-05-26 12:03:36,60,20.100,31.324,29.420,987.542,216.273,35.086,1300.000,0.130,1.329,1158.000,1.400,1099.156,0.000,0.000,0.000,0.000,0.127,119.000,0.144,105.326,0.000,0.000,0.000,0.000
1211785,2026-05-26 12:03:56,61,20.100,31.324,29.440,987.563,216.094,35.170,1300.000,0.130,1.348,1179.000,1.425,1115.125,0.000,0.000,0.000,0.000,0.115,54.000,0.065,95.061,0.000,0.000,0.000,0.000
1231850,2026-05-26 12:04:17,62,20.100,31.432,29.440,987.543,216.258,35.345,1400.000,0.140,1.345,1104.000,1.335,1112.900,0.000,0.000,0.000,0.000,0.125,135.000,0.163,103.049,0.000,0.000,0.000,0.000
1252006,2026-05-26 12:04:37,63,20.100,31.324,29.480,987.554,216.171,35.161,1300.000,0.130,1.335,1070.000,1.293,1104.320,0.000,0.000,0.000,0.000,0.138,157.000,0.190,113.839,0.000,0.000,0.000,0.000
1272071,2026-05-26 12:04:57,64,20.100,31.324,29.500,987.525,216.418,35.115,1300.000,0.130,1.325,1065.000,1.287,1096.456,0.000,0.000,0.000,0.000,0.148,156.000,0.189,122.271,0.000,0.000,0.000,0.000
1292136,2026-05-26 12:05:17,65,20.100,31.432,29.490,987.496,216.664,35.103,1400.000,0.140,1.353,1210.000,1.463,1119.165,0.000,0.000,0.000,0.000,0.139,86.000,0.104,115.017,0.000,0.000,0.000,0.000
1312201,2026-05-26 12:05:37,66,20.100,31.432,29.480,987.495,216.673,35.057,1300.000,0.130,1.334,1041.000,1.258,1103.532,0.000,0.000,0.000,0.000,0.138,111.000,0.134,114.214,0.000,0.000,0.000,0.000
1332266,2026-05-26 12:05:57,67,20.100,31.432,29.490,987.523,216.430,35.021,1300.000,0.130,1.309,1002.000,1.211,1083.226,0.000,0.000,0.000,0.000,0.144,140.000,0.169,119.371,0.000,0.000,0.000,0.000
1352331,2026-05-26 12:06:17,68,20.100,31.432,29.490,987.483,216.774,35.045,1300.000,0.130,1.305,1066.000,1.289,1079.781,0.000,0.000,0.000,0.000,0.150,143.000,0.173,124.097,0.000,0.000,0.000,0.000
1372396,2026-05-26 12:06:37,69,20.100,31.432,29.480,987.518,216.477,34.927,1200.000,0.120,1.268,924.000,1.117,1048.624,0.000,0.000,0.000,0.000,0.159,163.000,0.197,131.877,0.000,0.000,0.000,0.000
1392550,2026-05-26 12:06:57,70,20.100,31.432,29.470,987.483,216.767,34.927,1300.000,0.130,1.269,1054.000,1.274,1049.700,0.000,0.000,0.000,0.000,0.165,154.000,0.186,136.302,0.000,0.000,0.000,0.000
1412615,2026-05-26 12:07:17,71,20.100,31.432,29.450,987.482,216.778,35.030,1200.000,0.120,1.237,919.000,1.111,1023.560,0.000,0.000,0.000,0.000,0.159,111.000,0.134,131.242,0.000,0.000,0.000,0.000
1432680,2026-05-26 12:07:37,72,20.100,31.432,29.470,987.474,216.850,34.820,1200.000,0.120,1.263,1129.000,1.365,1044.648,0.000,0.000,0.000,0.000,0.143,65.000,0.079,117.993,0.000,0.000,0.000,0.000
1452745,2026-05-26 12:07:57,73,20.100,31.324,29.440,987.472,216.866,35.087,1300.000,0.130,1.275,1095.000,1.324,1054.718,0.000,0.000,0.000,0.000,0.133,79.000,0.095,110.195,0.000,0.000,0.000,0.000
1472810,2026-05-26 12:08:17,74,20.100,31.432,29.440,987.437,217.160,35.063,1300.000,0.130,1.248,943.000,1.140,1032.375,0.000,0.000,0.000,0.000,0.130,98.000,0.118,107.756,0.000,0.000,0.000,0.000
1492875,2026-05-26 12:08:38,75,20.100,31.432,29.430,987.444,217.099,35.075,1300.000,0.130,1.237,989.000,1.195,1023.700,0.000,0.000,0.000,0.000,0.131,110.000,0.133,108.205,0.000,0.000,0.000,0.000
1512940,2026-05-26 12:08:58,76,20.100,31.432,29.380,987.463,216.945,35.072,1300.000,0.130,1.251,1081.000,1.307,1035.160,0.000,0.000,0.000,0.000,0.141,152.000,0.184,116.964,0.000,0.000,0.000,0.000
1533098,2026-05-26 12:09:18,77,20.100,31.432,29.410,987.458,216.982,35.155,1300.000,0.130,1.264,1089.000,1.316,1045.928,0.000,0.000,0.000,0.000,0.131,75.000,0.091,108.571,0.000,0.000,0.000,0.000
1553163,2026-05-26 12:09:38,78,20.100,31.432,29.400,987.461,216.960,35.108,1300.000,0.130,1.287,1138.000,1.376,1064.342,0.000,0.000,0.000,0.000,0.118,55.000,0.066,97.857,0.000,0.000,0.000,0.000
1573228,2026-05-26 12:09:58,79,20.100,31.432,29.430,987.477,216.820,35.040,1300.000,0.130,1.293,1089.000,1.316,1069.274,0.000,0.000,0.000,0.000,0.132,156.000,0.189,109.485,0.000,0.000,0.000,0.000
1593293,2026-05-26 12:10:18,80,20.100,31.432,29.440,987.420,217.305,35.041,1300.000,0.130,1.304,1117.000,1.350,1078.819,0.000,0.000,0.000,0.000,0.127,87.000,0.105,104.988,0.000,0.000,0.000,0.000
