millis,iso_time,sequence,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
10538,NO_TIME,295,20.000,29.388,28.150,979.895,281.477,39.500,1800.000,0.180,1.316,988.000,1.194,1089.046,0.015,0.000,0.000,0.000,0.383,303.000,0.366,317.119,1.887,1.198,0.000,0.000
20639,2026-05-27 14:10:26,296,20.000,29.388,28.140,979.890,281.522,39.441,1700.000,0.170,1.322,1113.000,1.345,1093.836,0.015,0.000,0.000,0.000,0.379,298.000,0.360,313.295,1.886,1.165,0.000,0.000
30740,2026-05-27 14:10:36,297,20.000,29.388,28.130,979.904,281.402,40.126,2000.000,0.200,1.325,1105.000,1.336,1096.069,0.018,0.000,0.000,0.000,0.366,259.000,0.313,302.436,1.889,1.177,0.000,0.000
5939,NO_TIME,303,20.000,29.388,28.220,979.870,281.690,38.960,1300.000,0.130,1.384,1110.000,1.342,1144.615,0.020,0.000,0.000,0.000,0.379,304.000,0.367,313.270,1.813,1.195,0.000,0.000
15304,2026-05-27 14:11:49,304,20.000,29.388,28.180,979.971,280.829,40.306,1400.000,0.140,1.377,1117.000,1.350,1139.092,0.018,0.000,0.000,0.000,0.377,305.000,0.369,311.616,1.802,1.176,0.000,0.000
25487,2026-05-27 14:11:57,305,20.000,29.388,28.150,979.889,281.532,38.942,1600.000,0.160,1.383,1163.000,1.406,1143.873,0.015,0.000,0.000,0.000,0.364,261.000,0.315,301.493,1.795,1.174,0.000,0.000
45687,2026-05-27 14:12:17,307,20.000,29.388,28.090,979.850,281.867,39.529,1500.000,0.150,1.387,1159.000,1.401,1147.079,0.015,0.000,0.000,0.000,0.346,263.000,0.318,286.356,1.803,1.164,0.000,0.000
55787,2026-05-27 14:12:27,308,20.000,29.388,28.100,979.904,281.403,39.311,1400.000,0.140,1.356,1019.000,1.232,1121.463,0.018,0.000,0.000,0.000,0.340,263.000,0.318,281.684,1.800,1.166,0.000,0.000
76006,2026-05-27 14:12:48,310,20.000,29.388,28.050,979.887,281.545,39.225,1200.000,0.120,1.310,947.000,1.145,1084.096,0.020,0.000,0.000,0.000,0.345,290.000,0.351,285.638,1.775,1.154,0.000,0.000
86106,2026-05-27 14:12:58,311,20.000,29.388,28.020,979.833,282.010,39.061,1200.000,0.120,1.305,1063.000,1.285,1079.877,0.018,0.000,0.000,0.000,0.348,296.000,0.358,287.710,1.765,1.161,0.000,0.000
116407,2026-05-27 14:13:28,314,20.000,29.388,27.920,979.872,281.674,39.121,1100.000,0.110,1.280,1102.000,1.332,1058.513,0.015,0.000,0.000,0.000,0.351,296.000,0.358,290.284,1.760,1.122,0.000,0.000
126508,2026-05-27 14:13:38,315,20.000,29.388,27.880,979.888,281.542,39.013,1100.000,0.110,1.282,1067.000,1.290,1060.211,0.018,0.000,0.000,0.000,0.352,294.000,0.355,291.027,1.760,1.110,0.000,0.000
136608,2026-05-27 14:13:48,316,20.000,29.388,27.900,979.904,281.404,39.037,1100.000,0.110,1.246,911.000,1.101,1030.368,0.020,0.000,0.000,0.000,0.351,286.000,0.346,290.022,1.764,1.125,0.000,0.000
146708,2026-05-27 14:13:58,317,20.000,29.388,27.930,979.856,281.814,39.028,1100.000,0.110,1.255,1068.000,1.291,1037.895,0.020,0.000,0.000,0.000,0.348,280.000,0.338,288.017,1.770,1.107,0.000,0.000
166909,2026-05-27 14:14:19,319,20.000,29.388,27.860,979.879,281.620,39.161,1100.000,0.110,1.261,1110.000,1.342,1043.533,0.015,0.000,0.000,0.000,0.335,246.000,0.297,277.531,1.795,1.080,0.000,0.000
187110,2026-05-27 14:14:39,321,20.000,29.388,27.810,979.892,281.505,39.250,1100.000,0.110,1.229,943.000,1.140,1016.941,0.018,0.000,0.000,0.000,0.322,252.000,0.305,266.260,1.790,1.103,0.000,0.000
197212,2026-05-27 14:14:49,322,20.000,29.388,27.850,979.856,281.811,39.196,1000.000,0.100,1.233,1031.000,1.246,1019.753,0.018,0.000,0.000,0.000,0.318,252.000,0.305,263.408,1.779,1.111,0.000,0.000
